id,keyword,location,text,target,p_disaster,p_non_disaster
6349,hostages,,@Deosl86 @xavier_marquis Hostages are meaningless might as well just play cod search and destroy.,0,0.1,0.9
4725,evacuate,,Disregard my snap story there is an angry white girl riot happening as we speak. #evacuate,1,0.85,0.15
1315,bloody,Christchurch New Zealand,@MariaSherwood2 @JohnJCampbell Mega bloody marvellous,0,0.1,0.9
6707,lava,"Santa Maria, CA",Neighbor kids stopped to watch me play Disney's I Lava You song on my uke. Left as I got into Journey's Don't Stop Believing #kidsthesedays,0,0.0,1.0
7366,obliterate,United Kingdom,WWE 2K15: Universe Mode - Part 149 - OBLITERATE!!: http://t.co/0oms8rI3l1 via @YouTube,0,0.01,0.99
3264,demolish,,Ugh So hungry I'm going to demolish this food!,0,0.01,0.99
8841,sirens,,It's 'Run From Sirens' by 'Half Hour Hotel' @halfhourhotel @Edgarsgift. 'Premium Promotion' OFFER http://t.co/zRN30A78ir,0,0.1,0.9
10659,wounds,,11 puncture wounds,0,0.85,0.15
10731,wreck,Canada BC,@raineishida lol...Im just a nervous wreck :P,0,0.0,1.0
9026,stretcher,DMV,He's being put on a stretcher ?? don't want to see that.,0,0.65,0.35
3759,destruction,"Hickville, USA",There's a #fly loose in my workspace with two #bored #cats. I forsee terrible things.  #destruction #badkitty #thisiswhywecanthavenicethings,0,0.01,0.99
4210,drowned,,New and now: Different (FNaF fanfiction): Trixie_drowned / 2 pagesHi my awesome proxies it's ... http://t.co/366NhTg3Tz #wattpad #promo,0,0.0,1.0
526,army,,One Direction Is my pick for http://t.co/y9WvqKGbBI Fan Army #Directioners http://t.co/S5F9FcOmp8,0,0.0,1.0
8208,riot,"Uppsala, Sweden",Seriously do we have to do a tactical riot against the headquarters of Disney and Marvel...,0,0.65,0.35
6436,injured,"Srinagar,Kashmir","Militants attack police post in Udhampur; 2 SPOs injured

Suspected militants Thursday  attacked a police post in... http://t.co/1o0j9FCPBi",1,0.99,0.01
10869,,,Two giant cranes holding a bridge collapse into nearby homes http://t.co/STfMbbZFB5,1,0.95,0.05
3476,derailed,"Washington, DC",#Metro still doesn't know when Blue &amp; Orange lines will reopen. Empty passenger car derailed ~ 5 a.m. NOT a new 7000-series. @CQnow #WMATA,1,0.85,0.15
8215,riot,,I liked a @YouTube video http://t.co/5fR41TPzte Thorin's Thoughts - Riot and Sandbox Mode (LoL),0,0.1,0.9
4325,dust%20storm,A sofa,New Mad Max Screenshots Show Off a Lovely Dust Storm Combat Magnum Opus http://t.co/QHbzKErOTt #cogXbox #XboxOne #Xbox,0,0.05,0.95
48,ablaze,Birmingham,@bbcmtd Wholesale Markets ablaze http://t.co/lHYXEOHY6C,1,0.95,0.05
1526,body%20bags,Speaking the Truth in Love,Fairfax investigating firefighter over Facebook post saying police should be put in Û÷body bagsÛª - The Washington Post http://t.co/jAxHzjCCd4,0,0.85,0.15
679,attack,rowyso dallas ,@CaIxxum5SOS thanks for the damn heart attack,0,0.1,0.9
6751,lightning,"Coventry, UK",dogs Lightning reshapes rocks at the atomic level - A lightning strike can reshape a mineral's crystal structure ... http://t.co/2Wvmij5SA4,0,0.3,0.7
6520,injuries,Corpus - Las Vegas - Houston,The injuries are starting!!! Please @dallascowboys stay healthy!!! ????????????,0,0.1,0.9
8863,smoke,"Dalston, Hackney",@PianoHands You don't know because you don't smoke. The way to make taxis and buses come is to light a cigarette to smoke while you wait.,1,0.1,0.9
6467,injured,,Washington Post - 4 dead dozens injured in Gaza blast near house leveled in summer war http://t.co/VjXa13n8Ap,1,0.95,0.05
10143,upheaval,Attock,Ancient Mayan Tablet found via http://t.co/LmUMzkLtln http://t.co/yebxxAryBF http://t.co/SRRUqfffr6 http://t.co/CadzxAgMSI,0,0.0,1.0
4979,explosion,Blood Indian Reserve,@KirCut1 lets get a dope picture together and have the dopest explosion ????,0,0.1,0.9
3179,deluge,"Mostly Wellington, NZ ",@StephanieMarija 'light rain' was the forecast I based my dressing on. Light. Rain. Not incessant deluge!,0,0.02,0.98
2028,casualties,Skyport de la Rosa,The more I listen to it the more I believe Casualties of Cool is one of the best albums there ever was.,0,0.0,1.0
8508,screaming,"Moore, OK",@noahshack he's hot &amp; he can sing I'm screaming??????,0,0.01,0.99
7971,razed,WorldWide,#News : The Latest: More Homes Razed by Northern California Wildfire - New York Times http://t.co/5kBRZZmf8c #TAFS #FB100%,1,0.99,0.01
5567,flood,"Warrandyte, Australia",A [small] flood with bigåÊconsequences https://t.co/CVPdVHxd1R http://t.co/FDMXP4FcMo,1,0.85,0.15
6588,inundated,"Zeerust, South Africa",Most of us ddnt get this English  RT @ReIgN_CoCo: The World Is Inundated With Ostentatious People Stay Woke!,0,0.1,0.9
6933,mass%20murderer,ANDY 4 LEADER X,@TelegraphWorld lets hope it's a upper class white mass murderer....''' Mmmm,0,0.1,0.9
10641,wounds,Kashmir!,Read ~ THE UNHEALED WOUNDS OF AN UNENDING CONFLICT #Kashmir #Pakistan #India http://t.co/sAF9MoSkSN #EndOccupation #EndConflict #FreeKashmir,1,0.85,0.15
10750,wreckage,"Mumbai, Maharashtra",Wreckage 'Conclusively Confirmed' as From MH370: Malaysia PM: Investigators and the families of those who were... http://t.co/pTeVY815mt,1,0.95,0.05
2836,cyclone,,1970 Mercury Cyclone GT Hood Moulding Very NICE CORE Cobra Jet 429CJ GT http://t.co/jOBVBvKFnZ http://t.co/C8zPmZhTDE,0,0.0,1.0
1066,bleeding,,@SoDamnTrue  we know who u are you're a bleeding heart wannabe pickup artist,0,0.0,1.0
4021,disaster,,#Metepec #Mexico - ?NIGHT DISASTER?...E(Oficial) @ #NitClub #mÌ¼sica #mÌ¼sica http://t.co/WTfJF9jjzs,1,0.45,0.55
4220,drowned,,Visting Georgina at The Drowned Rat Cafe.....awful view!! http://t.co/pYLFb3tI9U,1,0.1,0.9
2413,collide,Viejo,It's always super awkward when worlds collide,0,0.1,0.9
10374,weapons,??? ?????????????,I will adamantly opposed to nuclear weapons.,1,0.1,0.9
8187,rescuers,,Fears over missing migrants in Med: Rescuers search for survivors after a boat carrying as many as 600 migrantsÛ_ http://t.co/v9ftYB30EI,1,0.95,0.05
10785,wrecked,"Brooklyn, NY",Wrecked an hour on YouTube with @julian_lage @GrantGordy &amp; @RossMartin7 and now it's practice time again.,0,0.01,0.99
8477,screamed,PA.USA,I SCREAMED AT THE END OAMSGAJAGAHAHAH IM LAIGHIGN #OTRAMETLIFE  http://t.co/eTkBW1RCrv,0,0.1,0.9
9396,survivors,,Hiroshima survivors fight nuclear industry in Brazil Ì¢?? video http://t.co/GLZmGBM7w0,1,0.85,0.15
6550,injury,,#poster #ergo Rotator #cuff injury recovery kit: http://t.co/zj3ODGQHyp Super High Converting Rotator Cuff Inj http://t.co/VZhTiBe4jh,0,0.0,1.0
1899,burning,,My hand is burning,1,0.3,0.7
660,attack,"Tucson, Az",Suspect in latest theater attack had psychological issues http://t.co/3huhZxliiG,1,0.95,0.05
2275,cliff%20fall,,Fall off a cliff please  https://t.co/4vWSL2Gfp0,1,0.1,0.9
133,accident,"New Hanover County, NC",FYI CAD:FYI: ;ACCIDENT PROPERTY DAMAGE;WPD;1600 S 17TH ST,1,0.95,0.05
5978,hazard,,Battlefield 4 Funny Moments - Dukes of Hazard Undercover Soldier MAV T... https://t.co/JU8nfpnedl via @YouTube,0,0.01,0.99
6065,heat%20wave,Somewhere out there,@rachelcaine The weatherit needs to make it minds up. First snow tornadoes now would you say a heat wave?,1,0.1,0.9
